source,target,interaction,weight,edge_color
H1900044_DNA.MetaBAT2.23,K02933,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02939,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02946,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02948,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02954,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02986,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K02994,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K03070,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K03075,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K03076,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K03106,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K03217,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K03585,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K04077,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K04771,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K06861,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K07165,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K08641,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K09810,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K11752,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K19355,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K21574,MAG-KO,0.548764376318816,blue
H1900044_DNA.MetaBAT2.23,K23514,MAG-KO,0.548764376318816,blue
